,/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.2/cv2/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,Error
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.30599486976861956
1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1624130681157112
2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3113395556807518
3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.30361382812261584
4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.15133690387010573
5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.17071759700775146
6,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.10896898210048675
7,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.16733514666557311
8,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.30349491387605665
9,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.16332053542137145
10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.290801078081131
11,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.16335413604974747
12,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.15887808576226234
13,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.3009494781494141
14,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3066496506333351
15,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.2936640098690987
16,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.3115312188863754
17,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.11750739365816117
18,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.20533634275197982
19,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.1569295197725296
20,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.285091832280159
21,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.2842066690325737
22,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.15558952391147612
23,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.15065887272357942
24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.280274561047554
25,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.11186023876070976
26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26208464354276656
27,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.30561342984437945
28,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.30846136808395386
29,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.26072189807891843
30,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.16934421211481093
31,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1520640566945076
32,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.28466657102108
33,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.30445151776075363
34,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.2950236648321152
35,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.2885171964764595
36,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.3099049985408783
37,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.3019820898771286
38,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2786096066236496
39,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.08411281518638133
40,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.1636544205248356
41,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.17794832736253738
42,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.30003385096788404
43,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.30810725688934326
44,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2870046436786652
45,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.30240088552236555
46,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.18375104516744614
47,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.14972711354494095
48,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.2975024148821831
49,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.15371016785502434
50,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.15673290342092513
51,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3101741895079613
52,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.27767241150140765
53,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.2896186426281929
54,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.30212670415639875
55,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.31001193821430206
56,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.29606630057096484
57,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.27043267339468
58,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.3019346609711647
59,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.31401993334293365
60,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.28959121406078336
61,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2751370519399643
62,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2881748899817467
63,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03423118516802788
64,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.20384804755449296
65,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.16109153032302856
66,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2983873650431633
67,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.1029873587191105
68,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.14915727376937865
69,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.30391242951154707
70,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.046624784171581266
71,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.26350452899932864
72,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.22577858120203018
73,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.28395078182220457
74,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.28058256953954697
75,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1490194581449032
76,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2660184681415558
77,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.16472487449645995
78,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2911233320832253
79,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.30592260509729385
80,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2122749924659729
81,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20606503635644913
82,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.15651315152645112
83,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.15995818078517915
84,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.3007724106311798
85,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.28328468054533007
86,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.30778598636388776
87,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.2872665226459503
88,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2694177463650703
89,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.20484385937452315
90,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.2947304040193558
91,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.28118218928575517
92,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.2291826367378235
93,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.29769708663225175
94,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.2812377691268921
95,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.20464737713336945
96,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.16425673812627792
97,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.044475001841783525
98,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.07009250968694687
99,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.21031776666641236
100,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.3038421109318733
101,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.30525694936513903
102,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.26727439612150194
103,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.2205956146121025
104,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.156332166492939
105,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.15504443496465684
106,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.30336402356624603
107,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.3037567973136902
108,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.22932823449373246
109,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.06932616494596004
110,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.26552301943302153
111,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2258458763360977
112,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.14307115897536277
113,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.22897759824991226
114,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.21141186952590943
115,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.09652982577681542
116,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.2981277406215668
117,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.15467186868190766
118,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2844923555850983
119,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.10696941167116165
120,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.30088795721530914
121,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03979537673294544
122,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.15783157497644423
123,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.3012591987848282
124,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.1132253959774971
125,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.3042085900902748
126,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.1767962545156479
127,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.304730561375618
128,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.3023929610848427
129,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.2964037016034126
130,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.2836588308215141
131,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.15045299977064133
132,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.2873427331447601
133,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3000015884637833
134,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.21090579628944398
135,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.16101543307304383
136,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.16199855059385299
137,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.3019289344549179
138,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.22477182000875473
139,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.1694149009883404
140,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.17142914608120918
141,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.26867345720529556
142,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.160342475771904
143,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.279648931324482
144,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.20003274828195572
145,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.07384142205119133
146,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.15629631131887436
147,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.3027792781591415
148,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.04739043712615967
149,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.29185761511325836
150,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.2855067178606987
151,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.07761433720588684
152,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.2054080158472061
153,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.28069437444210055
154,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.26567734181880953
155,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.29475118070840833
156,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.3020462945103645
157,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.15300233364105226
158,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.26183671951293946
159,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.18040259629487992
160,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.2836227223277092
161,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.30076525509357455
162,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.1548236943781376
163,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3024791657924652
164,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1707883968949318
165,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.3097205564379692
166,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1705509603023529
167,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.2808336913585663
168,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.30599313974380493
169,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.2295228898525238
170,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.17274410128593445
171,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.300382436811924
172,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.15231429934501647
173,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.2829769790172577
174,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.28838987797498705
175,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0711756892502308
176,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1976148046553135
177,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.29230933636426926
178,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.15157317966222764
179,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.037405532971024516
180,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.16013990938663483
